X,X,X,X,X,X,X,W,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S
X,X,X,X,X,X,X,W,W,K,K,K,K,K,K,X,X,X,X,SR,S,S,S,S
X,X,X,X,X,X,X,W,W>,K,K,K,K,K,K,W,W,W,W,S,S,S#,S,S
MF,M,M,M,X,X,X,W,W,K,K,K#,K,K,K,W,W,W,W,S,S,S*,S,S
M,M,M,M,X,X,X,W,W,K,K,K,K*,K,K,W,W,W,W,S,S,S,S,S
M,M,M,M,X,X,X,W,W,K,K,K,K,K,K,W,W,W,W,S,S,S,S,S
M,M,M#,M,M,M,W,W,W,K,K,K,K,K,K,W,W,W,W,W^,W,W,X,X
M,M,M*,M,M,M,W,W,W,W,W^,W^,W,W,W,W,W,W,W,W,W,W,X,X
M,M,M,M,M,M,W,W,W,W,Wv,Wv,W,W,W,W,W,W,W,W,W,Wv,X,X
M,M,M,M,M,M,W,W,W,W,D,D,D,W,W,W,W,B,B,B,B,B,B,B
M,M,M,M,M,M,W<,W,W,D,D,D,D,D,W,W,W,B,B,B,B,B,B,B
M,M,M,M,M,M,W<,W,W,D,D,D#,D,D,W,W,W,B,B,B,B,B,B,B
W^,W,W,W,W,W,W,W,W>,D,D,D*,D,D,W<,W,W>,B,B,B,B#,B,B,B
Wv,W,W,W,W,W,Wv,W,W,D,D,D,D,D,W,W,W>,B,B,B,B*,B,B,B
R,R,W,W,O,O,O,W,W,D,D,D,D,D,W,W,W,B,B,B,B,B,B,B
R,R,R,W,O,O,O,W,W,W,D,D,D,W,W,W,W,B,B,B,B,B,B,B
R,R*,R,W,O,O#,O,W,W,W,W,W^,W^,W,W,W,W,B,B,B,B,X,X,X
R,R#,R,W,O,O*,O,W,W,Wv,W,W,W,W,Wv,W,W,W,W,W,X,X,X,X
RS,R,R,W<,O,O,O,W,W,G,G,G,G,G,G,W,W,Wv,Wv,W,F,F,F,FM
X,X,X,W>,O,O,O,W,W,G,G,G,G,G,G,W,W,F,F,F,F,F,F,F
X,X,X,W,W,W,W,W,W,G,G,G,G,G,G,W,W,F,F,F,F,F,F,F
X,X,X,X,X,X,W,W>,G,G,G,G#,G,G,G,G,W<,F,F,F,F*,F,F,F
X,X,X,X,X,X,W,W,G,G,G,G,G*,G,G,G,W,F,F,F,F#,F,F,F
X,X,X,X,X,X,W,W,G,G,G,G,G,G,G,G,W,F,F,F,F,F,F,F
X,X,X,X,X,X,W,W,G,G,G,G,G,G,G,G,W,F,F,F,F,F,F,F
X,X,X,X,X,X,W,W,G,G,G,G,G,G,G,G,W,X,X,X,X,X,X,X
